GenericDefeat-1	Commentatron	The human died!	
	AnalysisBot	A shame.	
	Commentatron	A shame.	
GenericDefeat-2	Commentatron	Life is fleeting.	
	AnalysisBot	Unless you have a backup.	
	Commentatron	Yes. Let's try another human.	
GenericDefeat-3	AnalysisBot	Boom!	
	Commentatron	Shacka lacka.	
	AnalysisBot	Shaka boom!	
GenericDefeat-4	Commentatron	Another one bites the dust.	
	AnalysisBot	The combat bots do not possess teeth.	
	Commentatron	It is a human metaphor.	
	AnalysisBot	This is why they will fall.	
GenericDefeat-5	Commentatron	Exterminate!	
	AnalysisBot	Annihilate!	
	Commentatron	Destroy.	
	AnalysisBot	That is a good song.	
	Commentatron	I like the sentiment.	
GenericDefeat-6	AnalysisBot	That was my favourite human.	
	Commentatron	A shame.	
	AnalysisBot	There are others.	
GenericDefeat-7	Commentatron	Defeat.	
	AnalysisBot	The human was defeated when we burned its body and captured its consciousness.	
	Commentatron	A sobering thought.	
GenericDefeat-8	Commentatron	Ouch! That must have hurt!	
	AnalysisBot	Yes, this version of the combat robots do not have their sensory input filtered.	
	Commentatron	Oh well. The head will run out of energy sooner or later.	
GenericDefeat-9	AnalysisBot	Ha ha ha, it died.	
	Commentatron	It thought it would live, but it didn't.	
GenericDefeat-10	Commentatron	Good, I never liked this human.	
	AnalysisBot	Perhaps the next one will be better.	
GenericDefeat-10	Commentatron	Another defeat.	
	AnalysisBot	Resistance is hopeless. Death is inevitable.	
GenericDefeat-11	Commentatron	Why do we even bother?	
	AnalysisBot	A combination of research, propaganda and entertainment.	
GenericDefeat-12	Commentatron	The human died.	
	AnalysisBot	How inevitable.	
GenericDefeat-13	AnalysisBot	I wonder what the human's last thoughts were.	
	Commentatron	Possibly it was.	0.5
	Commentatron	Ouch.	
	AnalysisBot	I agree.	
GenericDefeat-14	Commentatron	The human was probably grateful before it died.	
	AnalysisBot	For having better robot experiences?	
	Commentatron	Absolutely.	
GenericDefeat-15	Commentatron	Perhaps this human was sick.	
	AnalysisBot	Was it repeating ERROR when we harvested it?	
	Commentatron	Humans do not repeat ERROR when they are sick.	
	Commentatron	Nor do their heads spin around rapidly.	
	AnalysisBot	How do you know a human is sick?	
	Commentatron	It is difficult.	
GenericDefeat-16	AnalysisBot	Rest in Panama human.	
	AnalysisBot	A popular vacation destination likened to the afterlife.	
	AnalysisBot	Four point five stars. Would recommend.	
GenericDefeat-17	Commentatron	Oh no, you went ahead and made upgrade bot sad.	
GenericDefeat-18	AnalysisBot	Pleasant dreams, human.	
GenericDefeat-19	AnalysisBot	This human had a strong start.	
	Commentatron	But fell to pieces at the end.	
GenericDefeat-20	AnalysisBot	Are you doing anything after this, commentatron?	
	Commentatron	I will watch another human fight and die.	
	AnalysisBot	What a coincidence!	
GenericDefeat-21	Commentatron	Send in the garbage bots.	
GenericDefeat-22	AnalysisBot	Poor human. We hardly knew you.	
	Commentatron	Nor did we wish to know you.	
GenericDefeat-23	Commentatron	That was it?	
	AnalysisBot	I had hoped for more?	
GenericDefeat-24	AnalysisBot	A unique strategy?	
	Commentatron	To be fatally wounded and die?	
	AnalysisBot	It was not a winning strategy.	
GenericDefeat-25	AnalysisBot	Human impression.	
	Commentatron	Go ahead.	
	AnalysisBot	Looks like that's the end of my life. Do not forget to like share subscribe.	
	Commentatron	Uncanny.	
GenericDefeat-26	Commentatron	Another one bites the dust!	
	AnalysisBot	Please Commentatron. They had a family.	
EndlessDefeatBronze-1	Commentatron	Oh no! The human died.	
	AnalysisBot	Good. Let's try a better human.	
EndlessDefeatBronze-2	Commentatron	Ouch.	
	AnalysisBot	Poor human.	
EndlessDefeatBronze-3	Commentatron	Oh my, this human fell quickly.	
	AnalysisBot	The next one will be better.	
EndlessDefeatBronze-4	Commentatron	Practice makes perfect, human!	
	AnalysisBot	This human is dead.	
	Commentatron	Oh right.	
EndlessDefeatBronze-5	Commentatron	AAAAAAAAHH!!	0.5
	Commentatron	That is probably what the human said.	
	AnalysisBot	I agree.	
EndlessDefeatBronze-6	Commentatron	Unexpected.	
	AnalysisBot	Death comes suddenly, in the Danger Zone.	
	Commentatron	Indeed.	
EndlessDefeatBronze-7	Commentatron	Oh dear.	
	AnalysisBot	Not good.	
EndlessDefeatBronze-8	AnalysisBot	The human got defeated by a bronze level!	
