ReturnToElevator-1	Commentatron	Do you think the human is going to return to the elevator?	
	AnalysisBot	One way or another, they always return to the elevator.	
ReturnToElevator-2	AnalysisBot	Please return to the elevator!	
	Commentatron	Human!	
	AnalysisBot	Go to the elevator.	
ReturnToElevator-3	Commentatron	Human, look at the giant green arrows.	
	AnalysisBot	That is the elevator. Go there.	
ReturnToElevator-4	Commentatron	So what have you been up to lately, Analysis-Bot?	
	AnalysisBot	I have been analysing humans.	
	Commentatron	What is your conclusion?	
	AnalysisBot	This one does not seem very bright.	
	Commentatron	Perhaps the next one will be better.	
ReturnToElevator-5	Commentatron	Perhaps the human thinks we will get bored.	
	AnalysisBot	It is mistaken. We have rich inner lives.	
	Commentatron	Yes. Very rich.	
ReturnToElevator-6	Commentatron	Hmm, perhaps this human does not speak English...	
	HelpVoice	One moment please.	1
	HelpVoice	Humana, por favor regrese al ascensor !	0.5
	HelpVoice	al'iinsan, yrja aleawdat 'iilaa almuseid !	0.5
	HelpVoice	Rén, qǐng fǎnhuí diàntī!	0.5
	HelpVoice	Människa, gå tillbaka till hissen !	
	Commentatron	Thank you disembodied announcer voice.	
ReturnToElevator-7	Commentatron	Human want a treat?	
	AnalysisBot	Tasty treat for human?	
	Commentatron	Go to the elevator!	
	AnalysisBot	There is a fun treat in the elevator!	
ReturnToElevator-8	AnalysisBot	Hey! Human! Go back to the elevator.	
RepulsedByGarbageForceField-1	Commentatron	The human tried to enter the garbage room.	
	AnalysisBot	Very strange.	
RepulsedByGarbageForceField-2	Commentatron	Why is the human throwing itself at the garbage room forcefield?	
	AnalysisBot	Perhaps it wants to dig through the garbage?	
	Commentatron	Disgusting!	
RepulsedByGarbageForceField-3	AnalysisBot	Bad human!	
	Commentatron	That room is not for you!	
	AnalysisBot	Look at the elevator behind you.	
	Commentatron	That is where you should go.	
RepulsedByGarbageForceField-4	Commentatron	Analysis-Bot, why do you think this human likes garbage so much?	
	AnalysisBot	The technology of humans is inferior to ours.	
	AnalysisBot	Perhaps garbage reminds it of home.	
	Commentatron	That makes sense.	
RepulsedByGarbageForceField-5	AnalysisBot	I like this forcefield.	
	Commentatron	Yes, it is pleasant to see the human fly.	
	AnalysisBot	What a silly human.	
RepulsedByGarbageForceField-6	Commentatron	Maybe we should kill this human. That way it would be allowed into the garbage room.	
	AnalysisBot	You make a compelling argument.	
RepulsedByGarbageForceField-7	AnalysisBot	Access denied, human.	
	Commentatron	The garbage room is only for garbage robots.	
	AnalysisBot	And garbage.	
RepulsedByGarbageForceField-8	Commentatron	Perhaps the human is confused.	
	AnalysisBot	Human, you are not garbage!	
	Commentatron	Not yet.	
RepulsedByGarbageForceField-9	Commentatron	Come on human, go to the elevator!	
	AnalysisBot	The next round you can enter the garbage room in pieces.	
RepulsedByGarbageForceField-10	Commentatron	Remember: Recycling is very important.	
	AnalysisBot	Recycling is the optimal use of matter.	
	Commentatron	Only a fool would not recycle.	
	AnalysisBot	Do not be a fool.	
RepulsedByGarbageForceField-11	Commentatron	This human is boring.	
	AnalysisBot	Yes.	
	Commentatron	After it dies, let's pick an interesting human!	
	AnalysisBot	Perhaps someone less fascinated by garbage.	
PlayerKilledClone-1	Commentatron	This is unexpected!	
	AnalysisBot	The human killed its clone.	
	Commentatron	What a strange human.	
PlayerKilledClone-2	Commentatron	Analysis-Bot, Why would the human kill its clone?	
	AnalysisBot	Since the human killed its clone, we must assume that the clone was planning the same thing.	
	Commentatron	The mind boggles!	
