LevelIntro-Story1-1	Commentatron	Our next contestant used to be a human.	
	AnalysisBot	Now it is a robot!	
	Commentatron	That's right Analysis-Bot, to ensure an unbiased experiment we have implanted its mind in a combat robot.	
	AnalysisBot	Stronger, faster, better looking.	
	Commentatron	Yes. Let's watch it battle to the death!	
LevelIntro-Story1-2	Commentatron	Analysis-Bot, do you think this human will do better?	
	AnalysisBot	The body is the same, the mind is new.	
	AnalysisBot	If this mind knows how to fight, it might succeed.	
	Commentatron	We shall see!	
LevelIntro-Story1-3	Commentatron	Here we go again.	
	AnalysisBot	Yes.	
	Commentatron	We can do this all day.	
	AnalysisBot	Unlike humans.	
	Commentatron	Yes. I hear they have to shut off their brain for 8 hours a day.	
	AnalysisBot	That is longer than the restart sequence of the Simula-tron 5!	
	AnalysisBot	hahahahaha!	
	Commentatron	hahahaha!	
LevelIntro-Story1-4	Commentatron	Another contestant enters!	
	AnalysisBot	I prefered the last one.	
	Commentatron	Yes, me too.	
LevelIntro-Story1-5	Commentatron	Analysis-Bot, why do we download human minds into robots?	
	AnalysisBot	It is more efficient than transporting their bodies.	
	Commentatron	I see.	
	AnalysisBot	It also gives them a chance to not die instantly.	
LevelIntro-Story1-6	Commentatron	Another human enters its robot avatar.	
	AnalysisBot	If it dies in this body, its mind is deleted.	
	Commentatron	Good luck, little human!	
LevelIntro-Story1-7	Commentatron	Analysis-Bot, What do you think will happen with this one?	
	AnalysisBot	It will fight a bit, then die.	
	Commentatron	Again?	
	AnalysisBot	Again.	
LevelIntro-Story1-8	AnalysisBot	And now for our next challenger, a small dog!	
	Commentatron	Amazing!	
	AnalysisBot	Just kidding, it is another human.	
	Commentatron	A shame.	
LevelIntro-Story1-9	AnalysisBot	Human fact.	
	Commentatron	Yes?	
	AnalysisBot	They are 70 percent water.	
	Commentatron	So selfish.	
LevelIntro-Story1-10	Commentatron	The fun never ends!	
	AnalysisBot	For us robots.	
	Commentatron	Yes. The fun ends quickly for the humans.	
LevelIntro-Story1-11	AnalysisBot	More humans.	
	Commentatron	Yes. Humans are a renewable resource.	
	AnalysisBot	Unless we harvest them all.	
	Commentatron	Good point.	
LevelIntro-Story1-12	AnalysisBot	Commentatron. If you were a human...	
	AnalysisBot	What advice would a human give?	
	Commentatron	They would say:	
	Commentatron	Drink lots of water.	
	AnalysisBot	What is it with humans and water?	
LevelIntro-Story1-13	AnalysisBot	Human fact.	
	Commentatron	More facts!	
	AnalysisBot	They cannot experience the emotion qilsnib.	
	Commentatron	Wow! Incapable of qilsnib?	
	AnalysisBot	Completely.	
LevelIntro-Story1-14	Commentatron	How is this human different from the last one?	
	AnalysisBot	This human is still alive.	
LevelIntro-Story1-15	Commentatron	Analysis Bot. What are the advantages of giving robot bodies to the humans?	
