GenericVictory-1	Commentatron	Victory!	
	AnalysisBot	Yes.	
	Commentatron	The next fight will not be so easy.	
GenericVictory-2	Commentatron	The human didn't die!	
	AnalysisBot	I was pretty sure it was going to die.	
	Commentatron	Well, now we get to see it fight more robots.	
	AnalysisBot	Maybe later it will die.	
GenericVictory-3	Commentatron	Very nice.	
	AnalysisBot	I like this contestant.	
	Commentatron	Let's hope it does not die horribly in the next battle.	
GenericVictory-4	AnalysisBot	Boom!	
	Commentatron	Easy.	
GenericVictory-5	Commentatron	This human is doing well.	
	AnalysisBot	Very much like a robot.	
	Commentatron	But not enough like a robot.	
	AnalysisBot	No. Not enough.	
GenericVictory-6	AnalysisBot	Nice work human	
	Commentatron	Make sure to thank upgrade bot!	
GenericVictory-7	AnalysisBot	Wow	
	Commentatron	Very nice	
	AnalysisBot	Perhaps this human had coffee before they were uploaded.	
	Commentatron	Water-based drink?	
	AnalysisBot	Water-based drink.	
GenericVictory-8	AnalysisBot	Horray!	
	Commentatron	Countless more robots await. You must be thrilled!	
GenericVictory-9	Commentatron	Amazing.	
	AnalysisBot	Perhaps this human was a professional video gamer.	
GenericVictory-10	Commentatron	Nice work upgrade bot.	
	AnalysisBot	Your superior upgrades meant this human survived.	
GenericVictory-11	Commentatron	I love the smell of energy swords in the morning.	
	AnalysisBot	Commentatron!	0.5
	AnalysisBot	You did not tell me you had a nose installed!	
LevelVictory-Story1-1	Commentatron	The human robot defeated the other robot!	
	AnalysisBot	They are both robots.	
	Commentatron	But one carried a lifetime of human experiences.	
	AnalysisBot	Now it will have better robot experiences!	
LevelVictory-Story1-2	Commentatron	Round 1 goes to the human.	
	AnalysisBot	It will probably die in round 2.	
LevelVictory-Story1-3	Commentatron	The lone test-robot falls!	
	AnalysisBot	Its consciousness is not unique. We will make another one.	
LevelVictory-Story1-4	AnalysisBot	You think you are tough human? Many humans have beaten this level.	
	Commentatron	They died shortly after.	
LevelVictory-Story1-5	AnalysisBot	As expected, the human defeated the single sword robot.	
	Commentatron	A modest achievement.	
LevelVictory-Story2-1	Commentatron	Look! The human robot defeated all the robots!	
	AnalysisBot	Well done human!	
LevelVictory-Story2-2	Commentatron	The human won!	
	AnalysisBot	Very promising.	
	Commentatron	Perhaps this one will take longer to die.	
LevelVictory-Story3-1	AnalysisBot	The human avoided the arrows!	
	Commentatron	More will come.	
LevelVictory-Story3-2	Commentatron	I really enjoy seeing arrows split things apart.	
	AnalysisBot	A shame this did not happen to the human.	
LevelVictory-Story3-3	Commentatron	It seems archers don't hold any mystery to this human.	
	AnalysisBot	This is a pretty basic model.	
	Commentatron	Good point.	
LevelVictory-Story4-1	Commentatron	This human is pretty good.	
	AnalysisBot	I wonder if the next one will get as far.	
LevelVictory-Story4-2	Commentatron	Nice! Everyone died.	
	AnalysisBot	Well done human.	
LevelVictory-Story5-1	AnalysisBot	Spider-tron 5000 was defeated!	
	Commentatron	Yes. A shame.	
LevelVictory-Story5-2	Commentatron	Huh, I didn't know you could kill Spider-tron 5000.	
	AnalysisBot	The human got lucky! The next one will get it.	
LevelVictory-Story6-1	Commentatron	The human defeated all the sword robots!	
	AnalysisBot	A surprising outcome.	
LevelVictory-Story6-2	Commentatron	That was a slaughter.	
	AnalysisBot	This human is not terrible at fighting robots.	
LevelVictory-Story7-1	Commentatron	Analysis-Bot, didn't you say that Spider-Tron 5000 could not be defeated?	
	AnalysisBot	The human has found a way. We must start research on Spider-Tron 6000!	
LevelVictory-Story7-2	Commentatron	Impressive.	
	AnalysisBot	Spider-Tron 5000 will be back!	
	Commentatron	Let's hope this human has perished by then.	
LevelVictory-Story8-1	Commentatron	That was a difficult fight.	
	AnalysisBot	We are just getting warmed up!	
LevelVictory-Story8-2	Commentatron	The human defeated the Archers!	
	AnalysisBot	An impressive achievement.	
	Commentatron	This is a talented human.	
LevelVictory-Story9-1	Commentatron	Very nice!	
	AnalysisBot	All the swordsmen died!	
	Commentatron	The next battle is going to be very interesting.	
LevelVictory-Story9-2	Commentatron	Analysis-Bot, how many sword robots do you think this human could defeat?	
	AnalysisBot	We saw it defeat all of these.	
	AnalysisBot	It is logical to assume that it could continue beating a steady stream of this model.	
	Commentatron	Perhaps it is time for a more advanced challenger.	
LevelVictory-Story11-1	Commentatron	The human defeated the hammer bots!	
	AnalysisBot	I was hoping they would smash it into bits.	
	Commentatron	A shame.	
LevelVictory-Story11-2	Commentatron	The hammer bots died.	
	AnalysisBot	These ones are weak.	
LevelVictory-Story11-3	Commentatron	Nice!	
	AnalysisBot	Not terrible.	
LevelVictory-Story12-1	Commentatron	The human won!	
	AnalysisBot	Congratulations, human!	
LevelVictory-Story12-2	Commentatron	Victory!	
	AnalysisBot	We are just getting started.	
LevelVictory-Story12-3	Commentatron	Nice!	
	AnalysisBot	What a good little human.	
LevelVictory-Story12-4	Commentatron	That was over quickly.	
	AnalysisBot	Yes.	
LevelVictory-Story13-1	Commentatron	The human did it!	
	AnalysisBot	I thought the spikes would get it.	
	Commentatron	Maybe the next human will die on them.	
LevelVictory-Story13-2	AnalysisBot	Spider-tron 5000 will be back!	
	Commentatron	It always comes back.	
	AnalysisBot	Such a nice robot.	
LevelVictory-Story13-3	Commentatron	Victory!	
	AnalysisBot	Hurray.	
	Commentatron	I'm looking forward to the next level!	
LevelVictory-Story14-1	Commentatron	The human won!	
	AnalysisBot	I was hoping it would die.	
	Commentatron	There is still time.	
LevelVictory-Story14-2	Commentatron	The Mark 2 Hammer Bots died...	
	AnalysisBot	Aww, it's ok Commentatron!	
	Commentatron	I enjoy seeing them fight.	
LevelVictory-Story15-1	Commentatron	Impressive.	
	AnalysisBot	Yes.	
	Commentatron	It is a shame the humans of Centauri station can't fight like sword robots.	
	AnalysisBot	They will soon!	
LevelVictory-Story15-2	Commentatron	The harvest is under way!	
	AnalysisBot	I can't wait to try these humans.	
	Commentatron	Yes, it will be fun!	
LevelVictory-Story15-3	Commentatron	The jetpack bots are such fierce fighters!	
	AnalysisBot	Yes, they are a joy to behold.	
LevelVictory-Story16-1	Commentatron	How goes the harvest, Analysis-Bot?	
	AnalysisBot	The number of humans is increasing!	
	Commentatron	Marvellous.	
LevelVictory-Story16-2	AnalysisBot	I wish this human would die!	
	Commentatron	Yes, it would be neat to try some new humans.	
LevelVictory-Story17-1	Commentatron	That was quite the fight!	
	AnalysisBot	Not bad.	
LevelVictory-Story17-2	Commentatron	hehe, I like this level.	
	AnalysisBot	The pillars are fun!	
LevelVictory-Story18-1	Commentatron	Look at the arena, a sea of red!	
	AnalysisBot	A beautiful sight.	
LevelVictory-Story18-2	Commentatron	This human is close to death.	
	AnalysisBot	Yes. The worst is yet to come.	
LevelVictory-Story19-1	AnalysisBot	Spider-tron 6000 was defeated.	
	Commentatron	Perhaps we should start research on...	0.5
	Commentatron	...some robot that's not a spider.	
	AnalysisBot	Good idea.	
LevelVictory-Story19-2	Commentatron	Wow, this human is killing it.	
